DIAGNOSIS CODE,LEN_DX_CODE,FIVE_DX_CODE,LONG_DESCRIPTION,SHORT_DESCRIPTION
2594,4,25940,"Dwarfism, not elsewhere classified",Dwarfism NEC
2593,4,25930,"Ectopic hormone secretion, not elsewhere classified",Ectopic hormone secr NEC
2592,4,25920,Carcinoid syndrome,Carcinoid syndrome
2591,4,25910,"Precocious sexual development and puberty, not elsewhere classified",Sexual precocity NEC
2590,4,25900,"Delay in sexual development and puberty, not elsewhere classified",Delay sexual develop NEC
2589,4,25890,"Polyglandular dysfunction, unspecified",Polyglandul dysfunc NOS
2588,4,25880,Other specified polyglandular dysfunction,Polyglandul dysfunc NEC
2581,4,25810,Other combinations of endocrine dysfunction,Comb endocr dysfunct NEC
2579,4,25790,Unspecified testicular dysfunction,Testicular dysfunct NOS
2578,4,25780,Other testicular dysfunction,Testicular dysfunct NEC
2572,4,25720,Other testicular hypofunction,Testicular hypofunc NEC
2571,4,25710,Postablative testicular hypofunction,Postablat testic hypofun
2570,4,25700,Testicular hyperfunction,Testicular hyperfunction
2569,4,25690,Unspecified ovarian dysfunction,Ovarian dysfunction NOS
2568,4,25680,Other ovarian dysfunction,Ovarian dysfunction NEC
2564,4,25640,Polycystic ovaries,Polycystic ovaries
2562,4,25620,Postablative ovarian failure,Postablativ ovarian fail
2561,4,25610,Other ovarian hyperfunction,Ovarian hyperfunc NEC
2560,4,25600,Hyperestrogenism,Hyperestrogenism
2559,4,25590,Unspecified disorder of adrenal glands,Adrenal disorder NOS
2558,4,25580,Other specified disorders of adrenal glands,Adrenal disorder NEC
2556,4,25560,Medulloadrenal hyperfunction,Medulloadrenal hyperfunc
2555,4,25550,Other adrenal hypofunction,Adrenal hypofunction NEC
2553,4,25530,Other corticoadrenal overactivity,Corticoadren overact NEC
2552,4,25520,Adrenogenital disorders,Adrenogenital disorders
2550,4,25500,Cushing's syndrome,Cushing's syndrome
2549,4,25490,Unspecified disease of thymus gland,Disease of thymus NOS
2548,4,25480,Other specified diseases of thymus gland,Diseases of thymus NEC
2541,4,25410,Abscess of thymus,Abscess of thymus
2540,4,25400,Persistent hyperplasia of thymus,Persist hyperplas thymus
2539,4,25390,Unspecified disorder of the pituitary gland and its hypothalamic control,Pituitary disorder NOS
2538,4,25380,Other disorders of the pituitary and other syndromes of diencephalohypophyseal origin,Pituitary disorder NEC
2537,4,25370,Iatrogenic pituitary disorders,Iatrogenic pituitary dis
2536,4,25360,Other disorders of neurohypophysis,Neurohypophysis dis NEC
2535,4,25350,Diabetes insipidus,Diabetes insipidus
2534,4,25340,Other anterior pituitary disorders,Anter pituitary dis NEC
2533,4,25330,Pituitary dwarfism,Pituitary dwarfism
2532,4,25320,Panhypopituitarism,Panhypopituitarism
2531,4,25310,Other and unspecified anterior pituitary hyperfunction,Ant pituit hyperfunc NEC
2530,4,25300,Acromegaly and gigantism,Acromegaly and gigantism
2529,4,25290,Unspecified disorder of parathyroid gland,Parathyroid disorder NOS
2528,4,25280,Other specified disorders of parathyroid gland,Parathyroid disorder NEC
2521,4,25210,Hypoparathyroidism,Hypoparathyroidism
2519,4,25190,Unspecified disorder of pancreatic internal secretion,Pancreatic disorder NOS
2518,4,25180,Other specified disorders of pancreatic internal secretion,Pancreatic disorder NEC
2515,4,25150,Abnormality of secretion of gastrin,Abnorm secretion gastrin
2514,4,25140,Abnormality of secretion of glucagon,Abn secretion glucagon
2513,4,25130,Postsurgical hypoinsulinemia,Postsurg hypoinsulinemia
2512,4,25120,"Hypoglycemia, unspecified",Hypoglycemia NOS
2511,4,25110,Other specified hypoglycemia,Oth spcf hypoglycemia
2510,4,25100,Hypoglycemic coma,Hypoglycemic coma
2469,4,24690,Unspecified disorder of thyroid,Disorder of thyroid NOS
2468,4,24680,Other specified disorders of thyroid,Disorders of thyroid NEC
2463,4,24630,Hemorrhage and infarction of thyroid,Hemorr/infarc thyroid
2462,4,24620,Cyst of thyroid,Cyst of thyroid
2461,4,24610,Dyshormonogenic goiter,Dyshormonogenic goiter
2460,4,24600,Disorders of thyrocalcitonin secretion,Dis thyrocalciton secret
2459,4,24590,"Thyroiditis, unspecified",Thyroiditis NOS
2458,4,24580,Other and unspecified chronic thyroiditis,Chr thyroiditis NEC/NOS
2454,4,24540,Iatrogenic thyroiditis,Iatrogenic thyroiditis
2453,4,24530,Chronic fibrous thyroiditis,Chr fibrous thyroiditis
2452,4,24520,Chronic lymphocytic thyroiditis,Chr lymphocyt thyroidit
2451,4,24510,Subacute thyroiditis,Subacute thyroiditis
2450,4,24500,Acute thyroiditis,Acute thyroiditis
2449,4,24490,Unspecified acquired hypothyroidism,Hypothyroidism NOS
2448,4,24480,Other specified acquired hypothyroidism,Acquired hypothyroid NEC
2443,4,24430,Other iatrogenic hypothyroidism,Iatrogen hypothyroid NEC
2442,4,24420,Iodine hypothyroidism,Iodine hypothyroidism
2441,4,24410,Other postablative hypothyroidism,Postablat hypothyr NEC
2440,4,24400,Postsurgical hypothyroidism,Postsurgical hypothyroid
2419,4,24190,Unspecified nontoxic nodular goiter,Nontox nodul goiter NOS
2411,4,24110,Nontoxic multinodular goiter,Nontox multinodul goiter
2410,4,24100,Nontoxic uninodular goiter,Nontox uninodular goiter
2409,4,24090,"Goiter, unspecified",Goiter NOS
2400,4,24000,"Goiter, specified as simple",Simple goiter
2399,4,23990,"Neoplasm of unspecified nature, site unspecified",Neoplasm NOS
2397,4,23970,Neoplasm of unspecified nature of endocrine glands and other parts of nervous system,Endocrine/nerv neo NOS
2396,4,23960,Neoplasm of unspecified nature of brain,Brain neoplasm NOS
2395,4,23950,Neoplasm of unspecified nature of other genitourinary organs,Other gu neoplasm NOS
2394,4,23940,Neoplasm of unspecified nature of bladder,Bladder neoplasm NOS
2393,4,23930,Neoplasm of unspecified nature of breast,Breast neoplasm NOS
2392,4,23920,"Neoplasm of unspecified nature of bone, soft tissue, and skin",Bone/skin neoplasm NOS
2391,4,23910,Neoplasm of unspecified nature of respiratory system,Respiratory neoplasm NOS
2390,4,23900,Neoplasm of unspecified nature of digestive system,Digestive neoplasm NOS
2389,4,23890,"Neoplasm of uncertain behavior, site unspecified",Uncert behavior neo NOS
2388,4,23880,Neoplasm of uncertain behavior of other specified sites,Uncert behavior neo NEC
2386,4,23860,Neoplasm of uncertain behavior of plasma cells,Plasmacytoma NOS
2385,4,23850,Neoplasm of uncertain behavior of histiocytic and mast cells,Mastocytoma NOS
2384,4,23840,Polycythemia vera,Polycythemia vera
2383,4,23830,Neoplasm of uncertain behavior of breast,Unc behav neo breast
2382,4,23820,Neoplasm of uncertain behavior of skin,Unc behav neo skin
2381,4,23810,Neoplasm of uncertain behavior of connective and other soft tissue,Unc behav neo soft tissu
2380,4,23800,Neoplasm of uncertain behavior of bone and articular cartilage,Unc behav neo bone
2379,4,23790,Neoplasm of uncertain behavior of other and unspecified parts of nervous system,Unc beh neo nerv sys NEC
2376,4,23760,Neoplasm of uncertain behavior of meninges,Unc behav neo meninges
2375,4,23750,Neoplasm of uncertain behavior of brain and spinal cord,Unc beh neo brain/spinal
2374,4,23740,Neoplasm of uncertain behavior of other and unspecified endocrine glands,Uncer neo endocrine NEC
2373,4,23730,Neoplasm of uncertain behavior of paraganglia,Unc behav neo paragang
2372,4,23720,Neoplasm of uncertain behavior of adrenal gland,Unc behav neo adrenal
2371,4,23710,Neoplasm of uncertain behavior of pineal gland,Unc behav neo pineal
2370,4,23700,Neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct,Unc behav neo pituitary
2367,4,23670,Neoplasm of uncertain behavior of bladder,Unc behav neo bladder
2366,4,23660,Neoplasm of uncertain behavior of other and unspecified male genital organs,Unc behav neo male NEC
2365,4,23650,Neoplasm of uncertain behavior of prostate,Unc behav neo prostate
2364,4,23640,Neoplasm of uncertain behavior of testis,Unc behav neo testis
2363,4,23630,Neoplasm of uncertain behavior of other and unspecified female genital organs,Unc behav neo female NEC
2362,4,23620,Neoplasm of uncertain behavior of ovary,Unc behav neo ovary
2361,4,23610,Neoplasm of uncertain behavior of placenta,Unc behav neo placenta
2360,4,23600,Neoplasm of uncertain behavior of uterus,Uncert behav neo uterus
2359,4,23590,Neoplasm of uncertain behavior of other and unspecified respiratory organs,Unc behav neo resp NEC
2358,4,23580,"Neoplasm of uncertain behavior of pleura, thymus, and mediastinum",Unc behav neo pleura
2357,4,23570,"Neoplasm of uncertain behavior of trachea, bronchus, and lung",Unc behav neo lung
2356,4,23560,Neoplasm of uncertain behavior of larynx,Unc behav neo larynx
2355,4,23550,Neoplasm of uncertain behavior of other and unspecified digestive organs,Unc behav neo GI NEC
2354,4,23540,Neoplasm of uncertain behavior of retroperitoneum and peritoneum,Unc behav neo peritoneum
2353,4,23530,Neoplasm of uncertain behavior of liver and biliary passages,Unc behav neo liver
2352,4,23520,"Neoplasm of uncertain behavior of stomach, intestines, and rectum",Unc behav neo intestine
2351,4,23510,"Neoplasm of uncertain behavior of lip, oral cavity, and pharynx",Unc behav neo oral/phar
2350,4,23500,Neoplasm of uncertain behavior of major salivary glands,Unc behav neo salivary
2349,4,23490,"Carcinoma in situ, site unspecified",Ca in situ NOS
2348,4,23480,Carcinoma in situ of other specified sites,Ca in situ NEC
2340,4,23400,Carcinoma in situ of eye,Ca in situ eye
2339,4,23390,Carcinoma in situ of other and unspecified urinary organs,Ca in situ urinary NEC
2337,4,23370,Carcinoma in situ of bladder,Ca in situ bladder
2336,4,23360,Carcinoma in situ of other and unspecified male genital organs,Ca in situ male gen NEC
2335,4,23350,Carcinoma in situ of penis,Ca in situ penis
2334,4,23340,Carcinoma in situ of prostate,Ca in situ prostate
2332,4,23320,Carcinoma in situ of other and unspecified parts of uterus,Ca in situ uterus NEC
2331,4,23310,Carcinoma in situ of cervix uteri,Ca in situ cervix uteri
2330,4,23300,Carcinoma in situ of breast,Ca in situ breast
2329,4,23290,"Carcinoma in situ of skin, site unspecified",Ca in situ skin NOS
2328,4,23280,Carcinoma in situ of other specified sites of skin,Ca in situ skin NEC
2327,4,23270,"Carcinoma in situ of skin of lower limb, including hip",Ca in situ skin leg
2326,4,23260,"Carcinoma in situ of skin of upper limb, including shoulder",Ca in situ skin arm
2325,4,23250,"Carcinoma in situ of skin of trunk, except scrotum",Ca in situ skin trunk
2324,4,23240,Carcinoma in situ of scalp and skin of neck,Ca in situ scalp
2323,4,23230,Carcinoma in situ of skin of other and unspecified parts of face,Ca in situ skin face NEC
2322,4,23220,Carcinoma in situ of skin of ear and external auditory canal,Ca in situ skin ear
2321,4,23210,"Carcinoma in situ of eyelid, including canthus",Ca in situ eyelid
2320,4,23200,Carcinoma in situ of skin of lip,Ca in situ skin lip
2319,4,23190,"Carcinoma in situ of respiratory system, part unspecified",Ca in situ resp sys NOS
2318,4,23180,Carcinoma in situ of other specified parts of respiratory system,Ca in situ resp sys NEC
2312,4,23120,Carcinoma in situ of bronchus and lung,Ca in situ bronchus/lung
2311,4,23110,Carcinoma in situ of trachea,Ca in situ trachea
2310,4,23100,Carcinoma in situ of larynx,Ca in situ larynx
2309,4,23090,Carcinoma in situ of other and unspecified digestive organs,Ca in situ GI NEC/NOS
2308,4,23080,Carcinoma in situ of liver and biliary system,Ca in situ liver/biliary
2307,4,23070,Carcinoma in situ of other and unspecified parts of intestine,Ca in situ bowel NEC/NOS
2306,4,23060,"Carcinoma in situ of anus, unspecified",Ca in situ anus NOS
2305,4,23050,Carcinoma in situ of anal canal,Ca in situ anal canal
2304,4,23040,Carcinoma in situ of rectum,Ca in situ rectum
2303,4,23030,Carcinoma in situ of colon,Ca in situ colon
2302,4,23020,Carcinoma in situ of stomach,Ca in situ stomach
2301,4,23010,Carcinoma in situ of esophagus,Ca in situ esophagus
2300,4,23000,"Carcinoma in situ of lip, oral cavity, and pharynx",Ca in situ oral cav/phar
2299,4,22990,Benign neoplasm of unspecified site,Benign neoplasm NOS
2298,4,22980,Benign neoplasm of other specified sites,Benign neoplasm NEC
2290,4,22900,Benign neoplasm of lymph nodes,Benign neo lymph nodes
2281,4,22810,"Lymphangioma, any site","Lymphangioma, any site"
2279,4,22790,"Benign neoplasm of endocrine gland, site unspecified",Benign neo endocrine NOS
2278,4,22780,Benign neoplasm of other endocrine glands and related structures,Benign neo endocrine NEC
2276,4,22760,Benign neoplasm of aortic body and other paraganglia,Ben neo paraganglia NEC
2275,4,22750,Benign neoplasm of carotid body,Benign neo carotid body
2274,4,22740,Benign neoplasm of pineal gland,Ben neopl pineal gland
2273,4,22730,Benign neoplasm of pituitary gland and craniopharyngeal duct,Benign neo pituitary
2271,4,22710,Benign neoplasm of parathyroid gland,Benign neo parathyroid
2270,4,22700,Benign neoplasm of adrenal gland,Benign neoplasm adrenal
2259,4,22590,"Benign neoplasm of nervous system, part unspecified",Benign neo nerv sys NOS
2258,4,22580,Benign neoplasm of other specified sites of nervous system,Benign neo nerv sys NEC
2254,4,22540,Benign neoplasm of spinal meninges,Ben neo spinal meninges
2253,4,22530,Benign neoplasm of spinal cord,Benign neo spinal cord
2252,4,22520,Benign neoplasm of cerebral meninges,Ben neo cerebr meninges
2251,4,22510,Benign neoplasm of cranial nerves,Benign neo cranial nerve
2250,4,22500,Benign neoplasm of brain,Benign neoplasm brain
2249,4,22490,"Benign neoplasm of eye, part unspecified",Benign neoplasm eye NOS
2248,4,22480,Benign neoplasm of other specified parts of eye,Benign neoplasm eye NEC
2247,4,22470,Benign neoplasm of lacrimal duct,Ben neo lacrimal duct
2246,4,22460,Benign neoplasm of choroid,Benign neoplasm choroid
2245,4,22450,Benign neoplasm of retina,Benign neoplasm retina
2244,4,22440,Benign neoplasm of cornea,Benign neoplasm cornea
2243,4,22430,Benign neoplasm of conjunctiva,Benign neo conjunctiva
2242,4,22420,Benign neoplasm of lacrimal gland,Ben neo lacrimal gland
2241,4,22410,Benign neoplasm of orbit,Benign neoplasm orbit
2240,4,22400,"Benign neoplasm of eyeball, except conjunctiva, cornea, retina, and choroid",Benign neoplasm eyeball
2239,4,22390,"Benign neoplasm of urinary organ, site unspecified",Benign neo urinary NOS
2233,4,22330,Benign neoplasm of bladder,Benign neoplasm bladder
2232,4,22320,Benign neoplasm of ureter,Benign neoplasm ureter
2231,4,22310,Benign neoplasm of renal pelvis,Benign neo renal pelvis
2230,4,22300,"Benign neoplasm of kidney, except pelvis",Benign neoplasm kidney
2229,4,22290,"Benign neoplasm of male genital organ, site unspecified",Ben neo male genital NOS
2228,4,22280,Benign neoplasm of other specified sites of male genital organs,Ben neo male genital NEC
2224,4,22240,Benign neoplasm of scrotum,Benign neoplasm scrotum
2223,4,22230,Benign neoplasm of epididymis,Benign neo epididymis
2222,4,22220,Benign neoplasm of prostate,Benign neoplasm prostate
2221,4,22210,Benign neoplasm of penis,Benign neoplasm penis
2220,4,22200,Benign neoplasm of testis,Benign neoplasm testis
2219,4,22190,"Benign neoplasm of female genital organ, site unspecified",Ben neo fem genital NOS
2218,4,22180,Benign neoplasm of other specified sites of female genital organs,Ben neo fem genital NEC
2212,4,22120,Benign neoplasm of vulva,Benign neoplasm vulva
2211,4,22110,Benign neoplasm of vagina,Benign neoplasm vagina
2210,4,22100,Benign neoplasm of fallopian tube and uterine ligaments,Ben neo fallopian tube
2199,4,21990,"Benign neoplasm of uterus, part unspecified",Benign neo uterus NOS
2198,4,21980,Benign neoplasm of other specified parts of uterus,Benign neo uterus NEC
2191,4,21910,Benign neoplasm of corpus uteri,Benign neo corpus uteri
2190,4,21900,Benign neoplasm of cervix uteri,Benign neo cervix uteri
2189,4,21890,"Leiomyoma of uterus, unspecified",Uterine leiomyoma NOS
2182,4,21820,Subserous leiomyoma of uterus,Subserous leiomyoma
2181,4,21810,Intramural leiomyoma of uterus,Intramural leiomyoma
2180,4,21800,Submucous leiomyoma of uterus,Submucous leiomyoma
2169,4,21690,"Benign neoplasm of skin, site unspecified",Benign neoplasm skin NOS
2168,4,21680,Benign neoplasm of other specified sites of skin,Benign neoplasm skin NEC
2167,4,21670,"Benign neoplasm of skin of lower limb, including hip",Benign neo skin leg
2166,4,21660,"Benign neoplasm of skin of upper limb, including shoulder",Benign neo skin arm
2165,4,21650,"Benign neoplasm of skin of trunk, except scrotum",Benign neo skin trunk
2164,4,21640,Benign neoplasm of scalp and skin of neck,Ben neo scalp/skin neck
2163,4,21630,Benign neoplasm of skin of other and unspecified parts of face,Benign neo skin face NEC
2162,4,21620,Benign neoplasm of ear and external auditory canal,Benign neo skin ear
2161,4,21610,"Benign neoplasm of eyelid, including canthus",Benign neo skin eyelid
2160,4,21600,Benign neoplasm of skin of lip,Benign neo skin lip
2159,4,21590,"Other benign neoplasm of connective and other soft tissue, site unspecified",Ben neo soft tissue NOS
2158,4,21580,Other benign neoplasm of connective and other soft tissue of other specified sites,Ben neo soft tissue NEC
2157,4,21570,"Other benign neoplasm of connective and other soft tissue of trunk, unspecified",Benign neo trunk NOS
2156,4,21560,Other benign neoplasm of connective and other soft tissue of pelvis,Ben neo soft tis pelvis
2155,4,21550,Other benign neoplasm of connective and other soft tissue of abdomen,Ben neo soft tis abdomen
2154,4,21540,Other benign neoplasm of connective and other soft tissue of thorax,Ben neo soft tis thorax
2153,4,21530,"Other benign neoplasm of connective and other soft tissue of lower limb, including hip",Ben neo soft tissue leg
2152,4,21520,"Other benign neoplasm of connective and other soft tissue of upper limb, including shoulder",Ben neo soft tissue arm
2150,4,21500,"Other benign neoplasm of connective and other soft tissue of head, face, and neck",Ben neo soft tissue head
2149,4,21490,"Lipoma, unspecified site",Lipoma NOS
2148,4,21480,Lipoma of other specified sites,Lipoma NEC
2144,4,21440,Lipoma of spermatic cord,Lipoma spermatic cord
2143,4,21430,Lipoma of intra-abdominal organs,Lipoma intra-abdominal
2142,4,21420,Lipoma of intrathoracic organs,Lipoma intrathoracic
2141,4,21410,Lipoma of other skin and subcutaneous tissue,Lipoma skin NEC
2140,4,21400,Lipoma of skin and subcutaneous tissue of face,Lipoma skin face
2139,4,21390,"Benign neoplasm of bone and articular cartilage, site unspecified",Benign neo bone NOS
2138,4,21380,Benign neoplasm of short bones of lower limb,Ben neo bones ankle/foot
2137,4,21370,Benign neoplasm of long bones of lower limb,Ben neo long bones leg
2136,4,21360,"Benign neoplasm of pelvic bones, sacrum, and coccyx",Benign neo pelvic girdle
2135,4,21350,Benign neoplasm of short bones of upper limb,Ben neo bones wrist/hand
2134,4,21340,Benign neoplasm of scapula and long bones of upper limb,Ben neo long bones arm
2133,4,21330,"Benign neoplasm of ribs, sternum, and clavicle",Ben neo ribs/stern/clav
2132,4,21320,"Benign neoplasm of vertebral column, excluding sacrum and coccyx",Benign neo vertebrae
2131,4,21310,Benign neoplasm of lower jaw bone,Ben neo lower jaw bone
2130,4,21300,Benign neoplasm of bones of skull and face,Ben neo skull/face bone
2129,4,21290,"Benign neoplasm of respiratory and intrathoracic organs, site unspecified",Benign neo resp sys NOS
2128,4,21280,Benign neoplasm of other specified sites of respiratory and intrathoracic organs,Benign neo resp sys NEC
2127,4,21270,Benign neoplasm of heart,Benign neoplasm heart
2126,4,21260,Benign neoplasm of thymus,Benign neoplasm thymus
2125,4,21250,Benign neoplasm of mediastinum,Benign neo mediastinum
2124,4,21240,Benign neoplasm of pleura,Benign neoplasm pleura
2123,4,21230,Benign neoplasm of bronchus and lung,Benign neo bronchus/lung
2122,4,21220,Benign neoplasm of trachea,Benign neo trachea
2121,4,21210,Benign neoplasm of larynx,Benign neo larynx
2120,4,21200,"Benign neoplasm of nasal cavities, middle ear, and accessory sinuses",Ben neo nasal cav/sinus
2119,4,21190,Benign neoplasm of other and unspecified site in the digestive system,Ben neo GI tract NEC/NOS
2118,4,21180,Benign neoplasm of retroperitoneum and peritoneum,Ben neo peritoneum
2117,4,21170,Benign neoplasm of islets of Langerhans,Ben neo islets langerhan
2116,4,21160,"Benign neoplasm of pancreas, except islets of Langerhans",Benign neoplasm pancreas
2115,4,21150,Benign neoplasm of liver and biliary passages,Ben neo liver/bile ducts
2114,4,21140,Benign neoplasm of rectum and anal canal,Benign neopl rectum/anus
2113,4,21130,Benign neoplasm of colon,Benign neoplasm lg bowel
2112,4,21120,"Benign neoplasm of duodenum, jejunum, and ileum",Benign neoplasm sm bowel
2111,4,21110,Benign neoplasm of stomach,Benign neoplasm stomach
2110,4,21100,Benign neoplasm of esophagus,Benign neo esophagus
2109,4,21090,"Benign neoplasm of pharynx, unspecified",Benign neo pharynx NOS
2108,4,21080,Benign neoplasm of hypopharynx,Benign neo hypopharynx
2107,4,21070,Benign neoplasm of nasopharynx,Benign neo nasopharynx
2106,4,21060,Benign neoplasm of other parts of oropharynx,Benign neo oropharyn NEC
2105,4,21050,Benign neoplasm of tonsil,Benign neoplasm tonsil
2104,4,21040,Benign neoplasm of other and unspecified parts of mouth,Benign neo mouth NEC/NOS
2103,4,21030,Benign neoplasm of floor of mouth,Benign neo mouth floor
2102,4,21020,Benign neoplasm of major salivary glands,Ben neo major salivary
2101,4,21010,Benign neoplasm of tongue,Benign neoplasm tongue
2100,4,21000,Benign neoplasm of lip,Benign neoplasm lip
1992,4,19920,Malignant neoplasm associated with transplant organ,Malig neopl-transp organ
1991,4,19910,Other malignant neoplasm without specification of site,Malignant neoplasm NOS
1990,4,19900,Disseminated malignant neoplasm without specification of site,Malig neo disseminated
1987,4,19870,Secondary malignant neoplasm of adrenal gland,Second malig neo adrenal
1986,4,19860,Secondary malignant neoplasm of ovary,Second malig neo ovary
1985,4,19850,Secondary malignant neoplasm of bone and bone marrow,Secondary malig neo bone
1984,4,19840,Secondary malignant neoplasm of other parts of nervous system,Sec malig neo nerve NEC
1983,4,19830,Secondary malignant neoplasm of brain and spinal cord,Sec mal neo brain/spine
1982,4,19820,Secondary malignant neoplasm of skin,Secondary malig neo skin
1981,4,19810,Secondary malignant neoplasm of other urinary organs,Sec malig neo urin NEC
1980,4,19800,Secondary malignant neoplasm of kidney,Second malig neo kidney
1978,4,19780,Secondary malignant neoplasm of other digestive organs and spleen,Sec mal neo GI NEC
1977,4,19770,"Malignant neoplasm of liver, secondary",Second malig neo liver
1976,4,19760,Secondary malignant neoplasm of retroperitoneum and peritoneum,Sec mal neo peritoneum
1975,4,19750,Secondary malignant neoplasm of large intestine and rectum,Sec malig neo lg bowel
1974,4,19740,Secondary malignant neoplasm of small intestine including duodenum,Sec malig neo sm bowel
1973,4,19730,Secondary malignant neoplasm of other respiratory organs,Sec malig neo resp NEC
1972,4,19720,Secondary malignant neoplasm of pleura,Second malig neo pleura
1971,4,19710,Secondary malignant neoplasm of mediastinum,Sec mal neo mediastinum
1970,4,19700,Secondary malignant neoplasm of lung,Secondary malig neo lung
1969,4,19690,"Secondary and unspecified malignant neoplasm of lymph nodes, site unspecified",Mal neo lymph node NOS
1968,4,19680,Secondary and unspecified malignant neoplasm of lymph nodes of multiple sites,Mal neo lymph node-mult
1966,4,19660,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes,Mal neo lymph-intrapelv
1965,4,19650,Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb,Mal neo lymph-inguin/leg
1963,4,19630,Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb,Mal neo lymph-axilla/arm
1962,4,19620,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,Mal neo lymph intra-abd
1961,4,19610,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,Mal neo lymph-intrathor
1960,4,19600,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck",Mal neo lymph-head/neck
1958,4,19580,Malignant neoplasm of other specified sites,Malig neo site NEC
1955,4,19550,Malignant neoplasm of lower limb,Malign neopl leg
1954,4,19540,Malignant neoplasm of upper limb,Malign neopl arm
1953,4,19530,Malignant neoplasm of pelvis,Malign neopl pelvis
1952,4,19520,Malignant neoplasm of abdomen,Malig neo abdomen
1951,4,19510,Malignant neoplasm of thorax,Malign neopl thorax
1950,4,19500,"Malignant neoplasm of head, face, and neck",Mal neo head/face/neck
1949,4,19490,"Malignant neoplasm of endocrine gland, site unspecified",Mal neo endocrine NOS
1948,4,19480,Malignant neoplasm of other endocrine glands and related structures,Mal neo endocrine NEC
1946,4,19460,Malignant neoplasm of aortic body and other paraganglia,Mal neo paraganglia NEC
1945,4,19450,Malignant neoplasm of carotid body,Mal neo carotid body
1944,4,19440,Malignant neoplasm of pineal gland,Malign neo pineal gland
1943,4,19430,Malignant neoplasm of pituitary gland and craniopharyngeal duct,Malig neo pituitary
1941,4,19410,Malignant neoplasm of parathyroid gland,Malig neo parathyroid
1940,4,19400,Malignant neoplasm of adrenal gland,Malign neopl adrenal
1929,4,19290,"Malignant neoplasm of nervous system, part unspecified",Mal neo nervous syst NOS
1928,4,19280,Malignant neoplasm of other specified sites of nervous system,Mal neo nervous syst NEC
1923,4,19230,Malignant neoplasm of spinal meninges,Mal neo spinal meninges
1922,4,19220,Malignant neoplasm of spinal cord,Mal neo spinal cord
1921,4,19210,Malignant neoplasm of cerebral meninges,Mal neo cerebral mening
1920,4,19200,Malignant neoplasm of cranial nerves,Mal neo cranial nerves
1919,4,19190,"Malignant neoplasm of brain, unspecified",Malig neo brain NOS
1918,4,19180,Malignant neoplasm of other parts of brain,Malig neo brain NEC
1917,4,19170,Malignant neoplasm of brain stem,Mal neo brain stem
1916,4,19160,Malignant neoplasm of cerebellum nos,Mal neo cerebellum NOS
1915,4,19150,Malignant neoplasm of ventricles,Mal neo cereb ventricle
1914,4,19140,Malignant neoplasm of occipital lobe,Mal neo occipital lobe
1913,4,19130,Malignant neoplasm of parietal lobe,Mal neo parietal lobe
1912,4,19120,Malignant neoplasm of temporal lobe,Mal neo temporal lobe
1911,4,19110,Malignant neoplasm of frontal lobe,Malig neo frontal lobe
1910,4,19100,"Malignant neoplasm of cerebrum, except lobes and ventricles",Malign neopl cerebrum
1909,4,19090,"Malignant neoplasm of eye, part unspecified",Malign neopl eye NOS
1908,4,19080,Malignant neoplasm of other specified sites of eye,Malign neopl eye NEC
1907,4,19070,Malignant neoplasm of lacrimal duct,Mal neo lacrimal duct
1906,4,19060,Malignant neoplasm of choroid,Malign neopl choroid
1905,4,19050,Malignant neoplasm of retina,Malign neopl retina
1904,4,19040,Malignant neoplasm of cornea,Malign neopl cornea
1903,4,19030,Malignant neoplasm of conjunctiva,Mal neo conjunctiva
1902,4,19020,Malignant neoplasm of lacrimal gland,Mal neo lacrimal gland
1901,4,19010,Malignant neoplasm of orbit,Malign neopl orbit
1900,4,19000,"Malignant neoplasm of eyeball, except conjunctiva, cornea, retina, and choroid",Malign neopl eyeball
1899,4,18990,"Malignant neoplasm of urinary organ, site unspecified",Mal neo urinary NOS
1898,4,18980,Malignant neoplasm of other specified sites of urinary organs,Mal neo urinary NEC
1894,4,18940,Malignant neoplasm of paraurethral glands,Mal neo paraurethral
1893,4,18930,Malignant neoplasm of urethra,Malign neopl urethra
1892,4,18920,Malignant neoplasm of ureter,Malign neopl ureter
1891,4,18910,Malignant neoplasm of renal pelvis,Malig neo renal pelvis
1890,4,18900,"Malignant neoplasm of kidney, except pelvis",Malig neopl kidney
1889,4,18890,"Malignant neoplasm of bladder, part unspecified",Malig neo bladder NOS
1888,4,18880,Malignant neoplasm of other specified sites of bladder,Malig neo bladder NEC
1887,4,18870,Malignant neoplasm of urachus,Malig neo urachus
1886,4,18860,Malignant neoplasm of ureteric orifice,Mal neo ureteric orifice
1885,4,18850,Malignant neoplasm of bladder neck,Mal neo bladder neck
1884,4,18840,Malignant neoplasm of posterior wall of urinary bladder,Mal neo bladder-post
1883,4,18830,Malignant neoplasm of anterior wall of urinary bladder,Mal neo bladder-anterior
1882,4,18820,Malignant neoplasm of lateral wall of urinary bladder,Mal neo bladder-lateral
1881,4,18810,Malignant neoplasm of dome of urinary bladder,Mal neo bladder-dome
