DIAGNOSIS CODE,LEN_DX_CODE,SEVEN_DX_CODE,LONG_DESCRIPTION,SHORT_DESCRIPTION
E9586,5,00E9586,Suicide and self-inflicted injury by crashing of aircraft,Injury-aircraft crash
E9585,5,00E9585,Suicide and self-inflicted injury by crashing of motor vehicle,Injury-motor veh crash
E9584,5,00E9584,Suicide and self-inflicted injury by electrocution,Injury-electrocution
E9583,5,00E9583,Suicide and self-inflicted injury by extremes of cold,Injury-extreme cold
E9582,5,00E9582,Suicide and self-inflicted injury by scald,Injury-scald
E9581,5,00E9581,"Suicide and self-inflicted injury by burns, fire","Injury-burn, fire"
E9580,5,00E9580,Suicide and self-inflicted injury by jumping or lying before moving object,Injury-moving object
E9579,5,00E9579,Suicide and self-inflicted injuries by jumping from unspecified site,Injury-jump NEC
E9572,5,00E9572,Suicide and self-inflicted injuries by jumping from natural sites,Injury-jump fm natur sit
E9571,5,00E9571,Suicide and self-inflicted injuries by jumping from other man-made structures,Injury-jump fm struc NEC
E9570,5,00E9570,Suicide and self-inflicted injuries by jumping from residential premises,Injury-jump fm residence
E9559,5,00E9559,"Suicide and self-inflicted injury by firearms and explosives, unspecified",Injury-firearm/expl NOS
E9557,5,00E9557,Suicide and self-inflicted injury by paintball gun,Self inj-paintball gun
E9556,5,00E9556,Suicide and self-inflicted injury by air gun,Self inflict acc-air gun
E9555,5,00E9555,Suicide and self-inflicted injury by explosives,Injury-explosives
E9554,5,00E9554,Suicide and self-inflicted injury by other and unspecified firearm,Injury-firearm NEC
E9553,5,00E9553,Suicide and self-inflicted injury by military firearms,Injury-military firearm
E9552,5,00E9552,Suicide and self-inflicted injury by hunting rifle,Injury-hunting rifle
E9551,5,00E9551,Suicide and self-inflicted injury by shotgun,Injury-shotgun
E9550,5,00E9550,Suicide and self-inflicted injury by handgun,Injury-handgun
E9539,5,00E9539,Suicide and self-inflicted injury by unspecified means,Injury-strang/suff NOS
E9538,5,00E9538,Suicide and self-inflicted injury by other specified means,Injury-strang/suff NEC
E9531,5,00E9531,Suicide and self-inflicted injury by suffocation by plastic bag,Injury-suff w plas bag
E9530,5,00E9530,Suicide and self-inflicted injury by hanging,Injury-hanging
E9529,5,00E9529,Suicide and self-inflicted poisoning by unspecified gases and vapors,Poison-gas/vapor NOS
E9528,5,00E9528,Suicide and self-inflicted poisoning by other specified gases and vapors,Poison-gas/vapor NEC
E9521,5,00E9521,Suicide and self-inflicted poisoning by other carbon monoxide,Poison-co NEC
E9520,5,00E9520,Suicide and self-inflicted poisoning by motor vehicle exhaust gas,Poison-exhaust gas
E9518,5,00E9518,Suicide and self-inflicted poisoning by other utility gas,Poison-utility gas NEC
E9511,5,00E9511,Suicide and self-inflicted poisoning by liquefied petroleum gas distributed in mobile containers,Poison-gas in container
E9510,5,00E9510,Suicide and self-inflicted poisoning by gas distributed by pipeline,Poison-piped gas
E9509,5,00E9509,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,Poison-solid/liquid NEC
E9508,5,00E9508,Suicide and self-inflicted poisoning by arsenic and its compounds,Poison-arsenic
E9507,5,00E9507,Suicide and self-inflicted poisoning by corrosive and caustic substances,Poison-corrosiv/caustic
E9506,5,00E9506,Suicide and self-inflicted poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers,Poison-agricult agent
E9505,5,00E9505,Suicide and self-inflicted poisoning by unspecified drug or medicinal substance,Poison-drug/medicin NOS
E9504,5,00E9504,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,Poison-drug/medicin NEC
E9503,5,00E9503,Suicide and self-inflicted poisoning by tranquilizers and other psychotropic agents,Poison-psychotropic agt
E9502,5,00E9502,Suicide and self-inflicted poisoning by other sedatives and hypnotics,Poison-sedat/hypnotic
E9501,5,00E9501,Suicide and self-inflicted poisoning by barbiturates,Poison-barbiturates
E9500,5,00E9500,"Suicide and self-inflicted poisoning by analgesics, antipyretics, and antirheumatics",Poison-analgesics
E9499,5,00E9499,Other and unspecified vaccines and biological substances causing adverse effects in therapeutic use,Adv eff biologic NEC/NOS
E9497,5,00E9497,"Mixed viral-rickettsial and bacterial vaccines, except combinations with a pertussis component, causing adverse effects in therapeutic use",Adv eff mixed viral-bact
E9496,5,00E9496,Other and unspecified viral and rickettsial vaccines causing adverse effects in therapeutic use,Adv eff viral vacc NEC
E9495,5,00E9495,Poliomyelitis vaccine causing adverse effects in therapeutic use,Adv eff polio vaccine
E9494,5,00E9494,Measles vaccine causing adverse effects in therapeutic use,Adv eff measles vaccine
E9493,5,00E9493,Yellow fever vaccine causing adverse effects in therapeutic use,Adv eff yellow fever vac
E9492,5,00E9492,Typhus vaccine causing adverse effects in therapeutic use,Adv eff typhus vaccine
E9491,5,00E9491,Rabies vaccine causing adverse effects in therapeutic use,Adv eff rabies vaccine
E9490,5,00E9490,Smallpox vaccine causing adverse effects in therapeutic use,Adv eff smallpox vaccine
E9489,5,00E9489,"Mixed bacterial vaccines, except combinations with a pertussis component, causing adverse effects in therapeutic use",Adv eff mix bact vaccine
E9488,5,00E9488,Other and unspecified bacterial vaccines causing adverse effects in therapeutic use,Adv eff bact vac NEC/NOS
E9486,5,00E9486,"Pertussis vaccine, including combinations with a pertussis component, causing adverse effects in therapeutic use",Adv eff pertussis vaccin
E9485,5,00E9485,Diphtheria vaccine causing adverse effects in therapeutic use,Adv eff diphther vaccine
E9484,5,00E9484,Tetanus vaccine causing adverse effects in therapeutic use,Adv eff tetanus vaccine
E9483,5,00E9483,Plague vaccine causing adverse effects in therapeutic use,Adv eff plague vaccine
E9482,5,00E9482,Cholera vaccine causing adverse effects in therapeutic use,Adv eff cholera vaccine
E9481,5,00E9481,Typhoid and paratyphoid vaccines causing adverse effects in therapeutic use,Adv eff typhoid vaccine
E9480,5,00E9480,Bcg vaccine causing adverse effects in therapeutic use,Adv eff bcg vaccine
E9479,5,00E9479,Unspecified drug or medicinal substance causing adverse effects in therapeutic use,Adv eff medicinal NOS
E9478,5,00E9478,Other drugs and medicinal substances causing adverse effects in therapeutic use,Adv eff medicinal NEC
E9474,5,00E9474,Pharmaceutical excipients causing adverse effects in therapeutic use,Adv eff pharmaceut excip
E9473,5,00E9473,Alcohol deterrents causing adverse effects in therapeutic use,Adv eff alcohol deter
E9472,5,00E9472,"Antidotes and chelating agents, not elsewhere classified, causing adverse effects in therapeutic use",Adv eff antidotes NEC
E9471,5,00E9471,Lipotropic drugs causing adverse effects in therapeutic use,Adv eff lipotropic drugs
E9470,5,00E9470,Dietetics causing adverse effects in therapeutic use,Adv eff dietetics
E9469,5,00E9469,Unspecified agent primarily affecting skin and mucous membrane causing adverse effects in therapeutic use,Adv eff skin agent NOS
E9468,5,00E9468,Other agents primarily affecting skin and mucous membrane causing adverse effects in therapeutic use,Adv eff skin agent NEC
E9467,5,00E9467,Dental drugs topically applied causing adverse effects in therapeutic use,Adv eff topic dental drg
E9466,5,00E9466,"Anti-infectives and other drugs and preparations for ear, nose, and throat causing adverse effects in therapeutic use",Adv eff ent anti-inf/drg
E9465,5,00E9465,Eye anti-infectives and other eye drugs causing adverse effects in therapeutic use,Adv eff eye anti-inf/drg
E9464,5,00E9464,"Keratolytics, keratoplastics, other hair treatment drugs and preparations causing adverse effects in therapeutic use",Adv eff hair/scalp prep
E9463,5,00E9463,"Emollients, demulcents, and protectants causing adverse effects in therapeutic use",Adv eff emollient/demulc
E9462,5,00E9462,Local astringents and local detergents causing adverse effects in therapeutic use,Adv eff local astringent
E9461,5,00E9461,Antipruritics causing adverse effects in therapeutic use,Adv eff antipruritics
E9460,5,00E9460,Local anti-infectives and anti-inflammatory drugs causing adverse effects in therapeutic use,Adv eff loc anti-infectv
E9458,5,00E9458,Other and unspecified respiratory drugs causing adverse effects in therapeutic use,Adv eff resp drg NEC/NOS
E9457,5,00E9457,Antiasthmatics causing adverse effects in therapeutic use,Adv eff antiasthmatics
E9456,5,00E9456,Anti-common cold drugs causing adverse effects in therapeutic use,Adv eff anti-common cold
E9455,5,00E9455,Expectorants causing adverse effects in therapeutic use,Adv eff expectorants
E9454,5,00E9454,Antitussives causing adverse effects in therapeutic use,Adv eff antitussives
E9453,5,00E9453,Other and unspecified drugs acting on muscles causing adverse effects in therapeutic use,Adv eff musc agt NEC/NOS
E9452,5,00E9452,Skeletal muscle relaxants causing adverse effects in therapeutic use,Adv eff skelet musc relx
E9451,5,00E9451,Smooth muscle relaxants causing adverse effects in therapeutic use,Adv eff smooth musc relx
E9450,5,00E9450,Oxytocic agents causing adverse effects in therapeutic use,Adv eff oxytocic agents
E9447,5,00E9447,Uric acid metabolism drugs causing adverse effects in therapeutic use,Adv eff uric acid metab
E9446,5,00E9446,"Other mineral salts, not elsewhere classified, causing adverse effects in therapeutic use",Adv eff mineral salt NEC
E9445,5,00E9445,"Electrolytic, caloric, and water-balance agents causing adverse effects in therapeutic use",Adv eff electrolyte agnt
E9444,5,00E9444,Other diuretics causing adverse effects in therapeutic use,Adv eff diuretics NEC
E9443,5,00E9443,Saluretics causing adverse effects in therapeutic use,Adv eff saluretics
E9442,5,00E9442,Carbonic acid anhydrase inhibitors causing adverse effects in therapeutic use,Adv eff acetazolamide
E9441,5,00E9441,Purine derivative diuretics causing adverse effects in therapeutic use,Adv eff purine diuretics
E9440,5,00E9440,Mercurial diuretics causing adverse effects in therapeutic use,Adv eff mercury diuretic
E9439,5,00E9439,Unspecified agent primarily affecting the gastrointestinal system causing adverse effects in therapeutic use,Adv eff GI agent NOS
E9438,5,00E9438,Other specified agents primarily affecting the gastro-intestinal system causing adverse effects in therapeutic use,Adv eff GI agent NEC
E9436,5,00E9436,Emetics causing adverse effects in therapeutic use,Adv eff emetics
E9435,5,00E9435,Antidiarrheal drugs causing adverse effects in therapeutic use,Adv eff antidiarrhea agt
E9434,5,00E9434,Digestants causing adverse effects in therapeutic use,Adv eff digestants
E9433,5,00E9433,"Other cathartics, including intestinal atonia drugs, causing adverse effects in therapeutic use",Adv eff cathartics NEC
E9432,5,00E9432,Emollient cathartics causing adverse effects in therapeutic use,Adv eff emoll cathartics
E9431,5,00E9431,Irritant cathartics causing adverse effects in therapeutic use,Adv eff irrit cathartic
E9430,5,00E9430,Antacids and antigastric secretion drugs causing adverse effects in therapeutic use,Adv eff antacids
E9429,5,00E9429,Other and unspecified agents primarily affecting the cardiovascular system causing adverse effects in therapeutic use,Adv eff cardiovasc NEC
E9428,5,00E9428,Capillary-active drugs causing adverse effects in therapeutic use,Adv eff capillary-act
E9427,5,00E9427,"Antivaricose drugs, including sclerosing agents, causing adverse effects in therapeutic use",Adv eff antivaricose
E9426,5,00E9426,Other antihypertensive agents causing adverse effects in therapeutic use,Adv eff antihyperten agt
E9425,5,00E9425,Other vasodilators causing adverse effects in therapeutic use,Adv eff vasodilators NEC
E9424,5,00E9424,Coronary vasodilators causing adverse effects in therapeutic use,Adv eff coronary vasodil
E9423,5,00E9423,Ganglion-blocking agents causing adverse effects in therapeutic use,Adv eff ganglion-block
E9422,5,00E9422,Antilipemic and antiarteriosclerotic drugs causing adverse effects in therapeutic use,Adv eff antilipemics
E9421,5,00E9421,Cardiotonic glycosides and drugs of similar action causing adverse effects in therapeutic use,Adv eff cardiotonics
E9420,5,00E9420,Cardiac rhythm regulators causing adverse effects in therapeutic use,Adv eff card rhyth regul
E9419,5,00E9419,Unspecified drug primarily affecting the autonomic nervous system causing adverse effects in therapeutic use,Adv eff autonom agnt NOS
E9413,5,00E9413,Sympatholytics [antiadrenergics] causing adverse effects in therapeutic use,Adv eff sympatholytics
E9412,5,00E9412,Sympathomimetics [adrenergics] causing adverse effects in therapeutic use,Adv eff sympathomimetics
E9411,5,00E9411,Parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics causing adverse effects in therapeutic use,Adv eff parasympatholytc
E9410,5,00E9410,Parasympathomimetics [cholinergics] causing adverse effects in therapeutic use,Adv eff cholinergics
E9409,5,00E9409,Unspecified central nervous system stimulant causing adverse effects in therapeutic use,Adv eff cns stimulnt NOS
E9408,5,00E9408,Other specified central nervous system stimulants causing adverse effects in therapeutic use,Adv eff cns stimulnt NEC
E9401,5,00E9401,Opiate antagonists causing adverse effects in therapeutic use,Adv eff opiat antagonist
E9400,5,00E9400,Analeptics causing adverse effects in therapeutic use,Adv eff analeptics
E9399,5,00E9399,Unspecified psychotropic agent causing adverse effects in therapeutic use,Adv eff psychotropic NOS
E9398,5,00E9398,Other psychotropic agents causing adverse effects in therapeutic use,Adv eff psychotropic NEC
E9397,5,00E9397,Psychostimulants causing adverse effects in therapeutic use,Adv eff psychostimulants
E9396,5,00E9396,Psychodysleptics [hallucinogens] causing adverse effects in therapeutic use,Adv eff hallucinogens
E9395,5,00E9395,Other tranquilizers causing adverse effects in therapeutic use,Adv eff tranquilizer NEC
E9394,5,00E9394,Benzodiazepine-based tranquilizers causing adverse effects in therapeutic use,Adv eff benzodiaz tranq
E9393,5,00E9393,"Other antipsychotics, neuroleptics, and major tranquilizers causing adverse effects in therapeutic use",Adv eff antipsychotc NEC
E9392,5,00E9392,Butyrophenone-based tranquilizers causing adverse effects in therapeutic use,Adv eff butyrophen tranq
E9391,5,00E9391,Phenothiazine-based tranquilizers causing adverse effects in therapeutic use,Adv eff phenothiaz tranq
E9390,5,00E9390,Antidepressants causing adverse effects in therapeutic use,Adv eff antidepressants
E9389,5,00E9389,Other and unspecified local anesthetics causing adverse effects in therapeutic use,Adv eff loc anes NEC/NOS
E9387,5,00E9387,Spinal anesthetics causing adverse effects in therapeutic use,Adv eff spinal anesthet
E9386,5,00E9386,Peripheral nerve- and plexus-blocking anesthetics causing adverse effects in therapeutic use,Adv eff nerve-block anes
E9385,5,00E9385,Surface and infiltration anesthetics causing adverse effects in therapeutic use,Adv eff topic/infil anes
E9384,5,00E9384,Other and unspecified general anesthetics causing adverse effects in therapeutic use,Adv eff gen anes NEC/NOS
E9383,5,00E9383,Intravenous anesthetics causing adverse effects in therapeutic use,Adv eff intraven anesth
E9382,5,00E9382,Other gaseous anesthetics causing adverse effects in therapeutic use,Adv eff gas anesthet NEC
E9381,5,00E9381,Halothane causing adverse effects in therapeutic use,Adv eff halothane
E9380,5,00E9380,Central nervous system muscle-tone depressants causing adverse effects in therapeutic use,Adv eff cns muscl depres
E9379,5,00E9379,Unspecified sedatives and hypnotics causing adverse effects in therapeutic use,Adv eff sedat/hypnot NOS
E9378,5,00E9378,Other sedatives and hypnotics causing adverse effects in therapeutic use,Adv eff sedat/hypnot NEC
E9376,5,00E9376,"Mixed sedatives, not elsewhere classified, causing adverse effects in therapeutic use",Adv eff mix sedative
E9375,5,00E9375,Glutethimide group causing adverse effects in therapeutic use,Adv eff glutethimide
E9374,5,00E9374,Methaqualone compounds causing adverse effects in therapeutic use,Adv eff methaqualone
E9373,5,00E9373,Bromine compounds causing adverse effects in therapeutic use,Adv eff bromine compnds
E9372,5,00E9372,Paraldehyde causing adverse effects in therapeutic use,Adv eff paraldehyde
E9371,5,00E9371,Chloral hydrate group causing adverse effects in therapeutic use,Adv eff chloral hydrate
E9370,5,00E9370,Barbiturates causing adverse effects in therapeutic use,Adv eff barbiturates
E9364,5,00E9364,Anti-parkinsonism drugs causing adverse effects in therapeutic use,Adv eff anti-parkinson
E9363,5,00E9363,Other and unspecified anticonvulsants causing adverse effects in therapeutic use,Adv eff antconvl NEC/NOS
E9362,5,00E9362,Succinimides causing adverse effects in therapeutic use,Adv eff succinimides
E9361,5,00E9361,Hydantoin derivatives causing adverse effects in therapeutic use,Adv eff hydantoin deriv
E9360,5,00E9360,Oxazolidine derivatives causing adverse effects in therapeutic use,Adv eff oxazolidin deriv
E9359,5,00E9359,Unspecified analgesic and antipyretic causing adverse effects in therapeutic use,Adv eff analgesic NOS
E9358,5,00E9358,Other specified analgesics and antipyretics causing adverse effects in therapeutic use,Adv eff analgesics NEC
E9357,5,00E9357,Other non-narcotic analgesics causing adverse effects in therapeutic use,Adv eff non-narc analgsc
E9356,5,00E9356,Antirheumatics [antiphlogistics] causing adverse effects in therapeutic use,Adv eff antirheumatics
E9355,5,00E9355,Pyrazole derivatives causing adverse effects in therapeutic use,Adv eff pyrazole deriv
E9354,5,00E9354,"Aromatic analgesics, not elsewhere classified, causing adverse effects in therapeutic use",Adv eff arom analgsc NEC
E9353,5,00E9353,Salicylates causing adverse effects in therapeutic use,Adv eff salicylates
E9352,5,00E9352,Other opiates and related narcotics causing adverse effects in therapeutic use,Adv eff opiates
E9351,5,00E9351,Methadone causing averse effects in therapeutic use,Adv eff methadone
E9350,5,00E9350,Heroin causing adverse effects in therapeutic use,Adv eff heroin
E9349,5,00E9349,Unspecified agent affecting blood constituents causing adverse effects in therapeutic use,Adv eff blood agent NOS
E9348,5,00E9348,Other agents affecting blood constituents causing adverse effects in therapeutic use,Adv eff blood agent NEC
E9347,5,00E9347,Natural blood and blood products causing adverse effects in therapeutic use,Adv eff blood products
E9346,5,00E9346,Gamma globulin causing adverse effects in therapeutic use,Adv eff gamma globulin
E9345,5,00E9345,Anticoagulant antagonists and other coagulants causing adverse effects in therapeutic use,Adv eff coagulants
E9344,5,00E9344,Fibrinolysis-affecting drugs causing adverse effects in therapeutic use,Adv eff fibrinolysis agt
E9343,5,00E9343,Vitamin k [phytonadione] causing adverse effects in therapeutic use,Adv eff vitamin k
E9342,5,00E9342,Anticoagulants causing adverse effects in therapeutic use,Adv eff anticoagulants
E9341,5,00E9341,Liver preparations and other antianemic agents causing adverse effects in therapeutic use,Adv eff liver/antianemic
E9340,5,00E9340,Iron and its compounds causing adverse effects in therapeutic use,Adv eff iron & compounds
E9339,5,00E9339,Unspecified systemic agent causing adverse effects in therapeutic use,Adv eff systemic agt NOS
E9338,5,00E9338,"Other systemic agents, not elsewhere classified, causing adverse effects in therapeutic use",Adv eff systemic agt NEC
E9337,5,00E9337,Intravenous bisphosphonates,IV bisphosphonates
E9336,5,00E9336,Oral bisphosphonates,Oral bisphosphonates
E9335,5,00E9335,"Vitamins, not elsewhere classified, causing adverse effects in therapeutic use",Adv eff vitamins NEC
E9334,5,00E9334,"Enzymes, not elsewhere classified, causing adverse effects in therapeutic use",Adv eff enzymes NEC
E9333,5,00E9333,Alkalizing agents causing adverse effects in therapeutic use,Adv eff alkalizing agent
E9332,5,00E9332,Acidifying agents causing adverse effects in therapeutic use,Adv eff acidifying agent
E9331,5,00E9331,Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,Adv eff antineoplastic
E9330,5,00E9330,Antiallergic and antiemetic drugs causing adverse effects in therapeutic use,Adv eff anallrg/antemet
E9329,5,00E9329,Other and unspecified hormones and synthetic substitutes causing adverse effects in therapeutic use,Adv eff hormones NEC/NOS
E9328,5,00E9328,Antithyroid agents causing adverse effects in therapeutic use,Adv eff antithyroid agnt
E9327,5,00E9327,Thyroid and thyroid derivatives causing adverse effects in therapeutic use,Adv eff thyroid & deriv
E9326,5,00E9326,Parathyroid and parathyroid derivatives causing adverse effects in therapeutic use,Adv eff parathyroid
E9325,5,00E9325,Posterior pituitary hormones causing adverse effects in therapeutic use,Adv eff post pituitary
E9324,5,00E9324,Anterior pituitary hormones causing adverse effects in therapeutic use,Adv eff ant pituitary
E9323,5,00E9323,Insulins and antidiabetic agents causing adverse effects in therapeutic use,Adv eff insulin/antidiab
E9322,5,00E9322,Ovarian hormones and synthetic substitutes causing adverse effects in therapeutic use,Adv eff ovarian hormones
E9321,5,00E9321,Androgens and anabolic congeners causing adverse effects in therapeutic use,Adv eff androgens
E9320,5,00E9320,Adrenal cortical steroids causing adverse effects in therapeutic use,Adv eff corticosteroids
E9319,5,00E9319,Other and unspecified anti-infectives causing adverse effects in therapeutic use,Adv eff antinfct NEC/NOS
E9318,5,00E9318,Other antimycobacterial drugs causing adverse effects in therapeutic use,Adv eff antimycobac NEC
E9317,5,00E9317,Antiviral drugs causing adverse effects in therapeutic use,Adv eff antiviral drugs
E9316,5,00E9316,Anthelmintics causing adverse effects in therapeutic use,Adv eff anthelmintics
E9315,5,00E9315,Other antiprotozoal drugs causing adverse effects in therapeutic use,Adv eff antprotazoal NEC
E9314,5,00E9314,Antimalarials and drugs acting on other blood protozoa causing adverse effects in therapeutic use,Adv eff antimalarials
E9313,5,00E9313,Quinoline and hydroxyquinoline derivatives causing adverse effects in therapeutic use,Adv eff quinoline
E9312,5,00E9312,Heavy metal anti-infectives causing adverse effects in therapeutic use,Adv eff metal anti-inf
E9311,5,00E9311,Arsenical anti-infectives causing adverse effects in therapeutic use,Adv eff arsenic anti-inf
E9310,5,00E9310,Sulfonamides causing adverse effects in therapeutic use,Adv eff sulfonamides
E9309,5,00E9309,Unspecified antibiotic causing adverse effects in therapeutic use,Adv eff antibiotic NOS
E9308,5,00E9308,Other specified antibiotics causing adverse effects in therapeutic use,Adv eff antibiotics NEC
E9307,5,00E9307,Antineoplastic antibiotics causing adverse effects in therapeutic use,Adv eff antineop antbiot
E9306,5,00E9306,Antimycobacterial antibiotics causing adverse effects in therapeutic use,Adv eff antmycob antbiot
E9305,5,00E9305,Cephalosporin group causing adverse effects in therapeutic use,Adv eff cephalosporin
E9304,5,00E9304,Tetracycline group causing adverse effects in therapeutic use,Adv eff tetracycline
E9303,5,00E9303,Erythromycin and other macrolides causing adverse effects in therapeutic use,Adv eff erythromycin
E9302,5,00E9302,Chloramphenicol group causing adverse effects in therapeutic use,Adv eff chloramphenicol
E9301,5,00E9301,Antifungal antibiotics causing adverse effects in therapeutic use,Adv eff antifung antbiot
E9300,5,00E9300,Penicillins causing adverse effects in therapeutic use,Adv eff penicillins
E9299,5,00E9299,Late effects of unspecified accident,Late eff accident NOS
E9298,5,00E9298,Late effects of other accidents,Late eff accident NEC
E9295,5,00E9295,Late effects of accident due to natural and environmental factors,Late eff environment acc
E9294,5,00E9294,Late effects of accident caused by fire,Late eff fire acc
E9293,5,00E9293,Late effects of accidental fall,Late eff accidental fall
E9292,5,00E9292,Late effects of accidental poisoning,Late eff acc poisoning
E9291,5,00E9291,Late effects of other transport accident,Late eff transport acc
E9290,5,00E9290,Late effects of motor vehicle accident,Late eff motor vehic acc
E9289,5,00E9289,Unspecified accident,Accident NOS
E9288,5,00E9288,Other accidents,Accident NEC
E9287,5,00E9287,"Environmental and accidental causes, mechanism or component of firearm and air gun",Accidnt-mech firearm/gun
E9286,5,00E9286,Environmental exposure to harmful algae and toxins,Envir expose algae/toxin
E9285,5,00E9285,External constriction caused by other object,Ext constriction-obj NEC
E9284,5,00E9284,External constriction caused by hair,Ext constriction-hair
E9283,5,00E9283,Human bite,Human bite - accidental
E9282,5,00E9282,Vibration,Exposure to vibration
E9281,5,00E9281,Exposure to noise,Exposure to noise
E9280,5,00E9280,Prolonged stay in weightless environment,Acc d/t weightless envir
E9279,5,00E9279,Unspecified overexertion and strenuous and repetitive movements or loads,Overexert reptv mvmt NOS
E9278,5,00E9278,Other overexertion and strenuous and repetitive movements or loads,Overexert reptv mvmt NEC
E9274,5,00E9274,Cumulative trauma from repetitive impact,Cumltv trma-repetv impct
E9273,5,00E9273,Cumulative trauma from repetitive motion,Cumltv trma-repetv motn
E9272,5,00E9272,Excessive physical exertion,Excess physical exert
E9271,5,00E9271,Overexertion from prolonged static position,Overxrt-prolng stc postn
E9270,5,00E9270,Overexertion from sudden strenuous movement,Overxrt-sudn stren mvmt
E9269,5,00E9269,Exposure to unspecified radiation,Radiation exposure NOS
E9268,5,00E9268,Exposure to other specified radiation,Radiation exposure NEC
E9265,5,00E9265,Exposure to radioactive isotopes,Radioact isotope exposur
E9264,5,00E9264,Exposure to lasers,Laser exposure
E9263,5,00E9263,Exposure to x-rays and other electromagnetic ionizing radiation,X-ray/gamma ray exposure
E9262,5,00E9262,Exposure to visible and ultraviolet light sources,Vis/ultraviol lght expos
E9261,5,00E9261,Exposure to infra-red radiation from heaters and lamps,Infra-red appl rad exos
E9260,5,00E9260,Exposure to radiofrequency radiation,Radiofreq radiat exposur
E9259,5,00E9259,Accident caused by unspecified electric current,Electric current acc NOS
E9258,5,00E9258,Accident caused by other electric current,Electric current acc NEC
E9252,5,00E9252,"Accident caused by industrial wiring, appliances, and electrical machinery",Indust wiring/machin acc
E9251,5,00E9251,"Accident caused by electric current in electric power generating plants, distribution stations, transmission lines",Electr power generat acc
E9250,5,00E9250,Accident caused by domestic wiring and appliances,Domestic wiring accident
E9249,5,00E9249,Accident caused by unspecified hot substance or object,Hot substance accid NOS
E9248,5,00E9248,Accident caused by other hot substance or object,Hot substance accid NEC
E9242,5,00E9242,Accident caused by hot (boiling) tap water,Acc-hot tap water
E9241,5,00E9241,Accident caused by caustic and corrosive substances,Accid-caustic substance
E9240,5,00E9240,"Accident caused by hot liquids and vapors, including steam",Acc-hot liquid & steam
E9239,5,00E9239,Accident caused by unspecified explosive material,Explosives accident NOS
E9238,5,00E9238,Accident caused by other explosive materials,Explosives accident NEC
E9232,5,00E9232,Accident caused by explosive gases,Explosive gases accident
E9231,5,00E9231,Accident caused by blasting materials,Blasting materials accid
E9230,5,00E9230,Accident caused by fireworks,Fireworks accident
E9229,5,00E9229,Accident caused by unspecified firearm missile,Firearm accident NOS
E9228,5,00E9228,Accident caused by other specified firearm missile,Firearm accident NEC
E9225,5,00E9225,Accident caused by paintball gun,Accident-paintball gun
E9224,5,00E9224,Accident caused by air gun,Accident - air gun
E9223,5,00E9223,Accident caused by military firearms,Military firearm accid
E9222,5,00E9222,Accident caused by hunting rifle,Hunting rifle accident
E9221,5,00E9221,Accident caused by shotgun (automatic),Shotgun accident
E9220,5,00E9220,Accident caused by handgun,Handgun accident
E9219,5,00E9219,Accident caused by explosion of unspecified pressure vessel,Press vessel explos NOS
E9218,5,00E9218,Accident caused by explosion of other specified pressure vessels,Press vessel explos NEC
E9211,5,00E9211,Accident caused by explosion of gas cylinders,Gas cylinder explosion
E9210,5,00E9210,Accident caused by explosion of boilers,Boiler explosion
E9209,5,00E9209,Accidents caused by unspecified cutting and piercing instrument or object,Acc-cutting instrum NOS
E9208,5,00E9208,Accidents caused by other specified cutting and piercing instruments or objects,Acc-cutting instrum NEC
E9205,5,00E9205,Accidents caused by hypodermic needle,Acc-hypodermic needle
E9204,5,00E9204,Accidents caused by other hand tools and implements,Accid-other hand tools
E9203,5,00E9203,"Accidents caused by knives, swords, and daggers",Knife/sword/dagger acc
E9202,5,00E9202,Accidents caused by powered household appliances and implements,Acc-power house applianc
E9201,5,00E9201,Accidents caused by other powered hand tools,Acc-power hand tool NEC
E9200,5,00E9200,Accidents caused by powered lawn mower,Acc-powered lawn mower
E9199,5,00E9199,Accidents caused by unspecified machinery,Machinery accident NOS
E9198,5,00E9198,Accidents caused by other specified machinery,Machinery accident NEC
E9197,5,00E9197,"Accidents caused by earth moving, scraping, and other excavating machines",Earth moving machine acc
E9196,5,00E9196,Accidents caused by transmission machinery,Transmission machine acc
E9195,5,00E9195,"Accidents caused by prime movers, except electrical motors",Prime mover machine acc
E9194,5,00E9194,Accidents caused by woodworking and forming machines,Woodworking machine acc
E9193,5,00E9193,Accidents caused by metalworking machines,Metalworking machine acc
E9192,5,00E9192,Accidents caused by lifting machines and appliances,Lifting machine accident
E9191,5,00E9191,Accidents caused by mining and earth-drilling machinery,Machine accid-mining
E9190,5,00E9190,Accidents caused by agricultural machines,Machine accid-agricult
E9179,5,00E9179,Other accident caused by striking against or being struck accidentally by objects or persons,Obj w-w/o sub fall NEC
E9178,5,00E9178,Striking against or struck accidentally by other stationary object with subsequent fall,Stat obj w sub fall NEC
E9177,5,00E9177,Striking against or struck accidentally by furniture with subsequent fall,Furniture acc w sub fall
E9176,5,00E9176,"Striking against or struck accidentally caused by a crowd, by collective fear or panic with subsequent fall",Crowd accidnt w sub fall
E9175,5,00E9175,Striking against or struck accidentally by object in sports with subsequent fall,Sports acc w sub fall
